shipment_id,ontime_status,infull_status,otif_status
SH-2026-000001,Ontime,Infull,Not OTIF
SH-2026-000002,Late,Infull,Not OTIF
SH-2026-000003,Ontime,Infull,OTIF
SH-2026-000004,Ontime,Infull,OTIF
SH-2026-000005,Ontime,Infull,OTIF
SH-2026-000006,Ontime,Infull,OTIF
SH-2026-000007,Ontime,Infull,Not OTIF
SH-2026-000008,Late,Infull,Not OTIF
SH-2026-000009,Late,Infull,Not OTIF
SH-2026-000010,Ontime,Infull,OTIF
SH-2026-000011,Late,Infull,Not OTIF
SH-2026-000012,Late,Infull,Not OTIF
SH-2026-000013,Ontime,Infull,Not OTIF
SH-2026-000014,Late,Infull,Not OTIF
SH-2026-000015,Late,Infull,Not OTIF
SH-2026-000016,Ontime,Short,Not OTIF
SH-2026-000017,Ontime,Infull,Not OTIF
SH-2026-000018,Ontime,Short,Not OTIF
SH-2026-000019,Ontime,Infull,OTIF
SH-2026-000020,Late,Infull,Not OTIF
SH-2026-000021,Ontime,Short,Not OTIF
SH-2026-000022,Ontime,Infull,OTIF
SH-2026-000023,Late,Short,Not OTIF
SH-2026-000024,Ontime,Infull,OTIF
SH-2026-000025,Late,Infull,Not OTIF
SH-2026-000026,Ontime,Infull,Not OTIF
SH-2026-000027,Ontime,Infull,OTIF
SH-2026-000028,Ontime,Infull,OTIF
SH-2026-000029,Ontime,Infull,OTIF
SH-2026-000030,Ontime,Infull,Not OTIF
SH-2026-000031,Late,Infull,Not OTIF
SH-2026-000032,Late,Infull,Not OTIF
SH-2026-000033,Ontime,Infull,OTIF
SH-2026-000034,Ontime,Infull,OTIF
SH-2026-000035,Ontime,Infull,OTIF
SH-2026-000036,Late,Infull,Not OTIF
SH-2026-000037,Late,Infull,Not OTIF
SH-2026-000038,Late,Infull,Not OTIF
SH-2026-000039,Late,Infull,Not OTIF
SH-2026-000040,Ontime,Infull,OTIF
SH-2026-000041,Ontime,Infull,Not OTIF
SH-2026-000042,Ontime,Infull,OTIF
SH-2026-000043,Ontime,Infull,OTIF
SH-2026-000044,Ontime,Infull,OTIF
SH-2026-000045,Ontime,Short,Not OTIF
SH-2026-000046,Ontime,Infull,Not OTIF
SH-2026-000047,Ontime,Infull,Not OTIF
SH-2026-000048,Ontime,Infull,OTIF
SH-2026-000049,Ontime,Infull,OTIF
SH-2026-000050,Ontime,Infull,OTIF
SH-2026-000051,Ontime,Infull,OTIF
SH-2026-000052,Ontime,Infull,OTIF
SH-2026-000053,Late,Infull,Not OTIF
SH-2026-000054,Ontime,Infull,OTIF
SH-2026-000055,Ontime,Infull,OTIF
SH-2026-000056,Ontime,Infull,Not OTIF
SH-2026-000057,Ontime,Infull,OTIF
SH-2026-000058,Ontime,Short,Not OTIF
SH-2026-000059,Ontime,Infull,OTIF
SH-2026-000060,Ontime,Infull,OTIF
SH-2026-000061,Ontime,Infull,OTIF
SH-2026-000062,Ontime,Infull,OTIF
SH-2026-000063,Ontime,Short,Not OTIF
SH-2026-000064,Ontime,Infull,OTIF
SH-2026-000065,Ontime,Infull,Not OTIF
SH-2026-000066,Ontime,Infull,OTIF
SH-2026-000067,Ontime,Infull,OTIF
SH-2026-000068,Late,Infull,Not OTIF
SH-2026-000069,Ontime,Infull,OTIF
SH-2026-000070,Ontime,Infull,OTIF
SH-2026-000071,Late,Infull,Not OTIF
SH-2026-000072,Ontime,Infull,Not OTIF
SH-2026-000073,Late,Infull,Not OTIF
SH-2026-000074,Ontime,Infull,OTIF
SH-2026-000075,Late,Infull,Not OTIF
SH-2026-000076,Ontime,Infull,Not OTIF
SH-2026-000077,Ontime,Infull,OTIF
SH-2026-000078,Ontime,Infull,OTIF
SH-2026-000079,Ontime,Infull,OTIF
SH-2026-000080,Ontime,Short,Not OTIF
SH-2026-000081,Ontime,Short,Not OTIF
SH-2026-000082,Ontime,Infull,OTIF
SH-2026-000083,Ontime,Infull,OTIF
SH-2026-000084,Ontime,Infull,OTIF
SH-2026-000085,Ontime,Short,Not OTIF
SH-2026-000086,Late,Short,Not OTIF
SH-2026-000087,Ontime,Infull,OTIF
SH-2026-000088,Ontime,Infull,OTIF
SH-2026-000089,Ontime,Infull,OTIF
SH-2026-000090,Ontime,Infull,Not OTIF
SH-2026-000091,Ontime,Infull,OTIF
SH-2026-000092,Late,Infull,Not OTIF
SH-2026-000093,Late,Infull,Not OTIF
SH-2026-000094,Ontime,Infull,OTIF
SH-2026-000095,Ontime,Short,Not OTIF
SH-2026-000096,Ontime,Infull,OTIF
SH-2026-000097,Ontime,Infull,OTIF
SH-2026-000098,Ontime,Infull,OTIF
SH-2026-000099,Ontime,Infull,Not OTIF
SH-2026-000100,Late,Infull,Not OTIF
SH-2026-000101,Late,Infull,Not OTIF
SH-2026-000102,Ontime,Infull,OTIF
SH-2026-000103,Late,Infull,Not OTIF
SH-2026-000104,Ontime,Infull,OTIF
SH-2026-000105,Ontime,Infull,Not OTIF
SH-2026-000106,Ontime,Short,Not OTIF
SH-2026-000107,Ontime,Infull,OTIF
SH-2026-000108,Late,Infull,Not OTIF
SH-2026-000109,Ontime,Infull,OTIF
SH-2026-000110,Ontime,Infull,OTIF
SH-2026-000111,Ontime,Infull,OTIF
SH-2026-000112,Ontime,Infull,OTIF
SH-2026-000113,Ontime,Infull,OTIF
SH-2026-000114,Ontime,Infull,OTIF
SH-2026-000115,Late,Infull,Not OTIF
SH-2026-000116,Ontime,Infull,OTIF
SH-2026-000117,Late,Infull,Not OTIF
SH-2026-000118,Ontime,Infull,OTIF
SH-2026-000119,Ontime,Infull,OTIF
SH-2026-000120,Ontime,Infull,OTIF
SH-2026-000121,Ontime,Infull,OTIF
SH-2026-000122,Ontime,Infull,Not OTIF
SH-2026-000123,Ontime,Infull,OTIF
SH-2026-000124,Ontime,Infull,OTIF
SH-2026-000125,Ontime,Infull,OTIF
SH-2026-000126,Late,Infull,Not OTIF
SH-2026-000127,Ontime,Infull,OTIF
SH-2026-000128,Ontime,Infull,OTIF
SH-2026-000129,Ontime,Infull,Not OTIF
SH-2026-000130,Ontime,Infull,OTIF
SH-2026-000131,Ontime,Infull,OTIF
SH-2026-000132,Ontime,Infull,OTIF
SH-2026-000133,Ontime,Infull,OTIF
