namespace,raw_value,fake_value
brand,AFC,Cocoluxe
brand,Cosy,Berryfizz
brand,KD,Goldcrunch
brand,Lu,Velvetta
brand,Oreo,Sunbite
brand,RITZ,Crispero
brand,Slide,Honeystix
brand,Solite,Mintway
brand,Trung Thu,Caramelo
brand,Tết,Snowflake
carrier_code,ANH SON,CAR002
carrier_code,GHN,CAR007
carrier_code,HDA,CAR001
carrier_code,HOA PHAT,CAR008
carrier_code,HVP,CAR006
carrier_code,NGUYEN PHAT,CAR004
carrier_code,NINJAVAN,CAR009
carrier_code,NJV- Nhất Tín,CAR010
carrier_code,THANH AN,CAR005
carrier_code,TLL,CAR003
carrier_code,VAN HO,CAR011
carrier_name,ANH SON,Nam Phat Logistics
carrier_name,GHN,Truong Hai Transport
carrier_name,HDA,Viet Tin Express
carrier_name,HOA PHAT,Hoang Long Trucking
carrier_name,HVP,Dai Nam Forwarding
carrier_name,NGUYEN PHAT,Phuong Bac Cargo
carrier_name,NINJAVAN,Sai Gon Movers
carrier_name,NJV- Nhất Tín,Tan Thanh Freight
carrier_name,THANH AN,Bao Tin Logistics
carrier_name,TLL,An Khang Transport
carrier_name,VAN HO,Minh Quang Express
pickup_location,Kho ngoài - BKD,Hub-02
pickup_location,Kho ngoài - NKD,Hub-04
pickup_location,Kho trong - BKD,Hub-03
pickup_location,Kho trong - NKD,Hub-01
shipment,8482397014,SH-2026-001411
shipment,8482397596,SH-2026-001734
shipment,8482402760,SH-2026-001412
shipment,8482405183,SH-2026-002254
shipment,8482405234,SH-2026-001039
shipment,8482405626,SH-2026-001413
shipment,8482406782,SH-2026-002255
shipment,8482407084,SH-2026-003819
shipment,8482407086,SH-2026-002256
shipment,8482407091,SH-2026-002257
shipment,8482407092,SH-2026-002772
shipment,8482407093,SH-2026-002773
shipment,8482407096,SH-2026-000146
shipment,8482407098,SH-2026-001414
shipment,8482407099,SH-2026-000147
shipment,8482407110,SH-2026-000148
shipment,8482407128,SH-2026-000149
shipment,8482407187,SH-2026-001735
shipment,8482407190,SH-2026-001415
shipment,8482407192,SH-2026-000945
shipment,8482407195,SH-2026-000150
shipment,8482407196,SH-2026-000151
shipment,8482407197,SH-2026-000152
shipment,8482407199,SH-2026-001736
shipment,8482407200,SH-2026-001737
shipment,8482407201,SH-2026-000946
shipment,8482407202,SH-2026-001416
shipment,8482407209,SH-2026-003413
shipment,8482407210,SH-2026-001040
shipment,8482407211,SH-2026-001041
shipment,8482407234,SH-2026-000153
shipment,8482407249,SH-2026-000563
shipment,8482407252,SH-2026-000564
shipment,8482407254,SH-2026-000565
shipment,8482407257,SH-2026-000566
shipment,8482407259,SH-2026-000567
shipment,8482407469,SH-2026-001417
shipment,8482407474,SH-2026-000154
shipment,8482407535,SH-2026-000155
shipment,8482407653,SH-2026-000507
shipment,8482407660,SH-2026-000568
shipment,8482407661,SH-2026-000569
shipment,8482407666,SH-2026-000570
shipment,8482407686,SH-2026-000156
shipment,8482407696,SH-2026-000571
shipment,8482407698,SH-2026-000572
shipment,8482407699,SH-2026-000157
shipment,8482407705,SH-2026-000947
shipment,8482407706,SH-2026-000948
shipment,8482407707,SH-2026-000158
shipment,8482407713,SH-2026-001738
shipment,8482407718,SH-2026-001418
shipment,8482407721,SH-2026-000159
shipment,8482407722,SH-2026-000160
shipment,8482407731,SH-2026-000161
shipment,8482407905,SH-2026-000162
shipment,8482408213,SH-2026-000163
shipment,8482408478,SH-2026-002774
shipment,8482408479,SH-2026-000164
shipment,8482408480,SH-2026-000165
shipment,8482408481,SH-2026-001042
shipment,8482408482,SH-2026-000166
shipment,8482408483,SH-2026-000167
shipment,8482408485,SH-2026-000168
shipment,8482408486,SH-2026-000169
shipment,8482408487,SH-2026-000170
shipment,8482408489,SH-2026-000171
shipment,8482408490,SH-2026-000949
shipment,8482408491,SH-2026-000172
shipment,8482408493,SH-2026-000173
shipment,8482408494,SH-2026-000174
shipment,8482408495,SH-2026-000175
shipment,8482408496,SH-2026-000950
shipment,8482408497,SH-2026-000573
shipment,8482408498,SH-2026-000574
shipment,8482408711,SH-2026-000176
shipment,8482408744,SH-2026-000575
shipment,8482408765,SH-2026-000576
shipment,8482408766,SH-2026-000577
shipment,8482408767,SH-2026-000578
shipment,8482408768,SH-2026-000579
shipment,8482408769,SH-2026-000580
shipment,8482408770,SH-2026-000177
shipment,8482408771,SH-2026-000581
shipment,8482408772,SH-2026-000582
shipment,8482408773,SH-2026-000583
shipment,8482408774,SH-2026-000584
shipment,8482408775,SH-2026-000585
shipment,8482408776,SH-2026-001043
shipment,8482408777,SH-2026-001044
shipment,8482408778,SH-2026-000586
shipment,8482408779,SH-2026-001045
shipment,8482408780,SH-2026-000587
shipment,8482408781,SH-2026-001046
shipment,8482408782,SH-2026-000588
shipment,8482408783,SH-2026-000589
shipment,8482408784,SH-2026-000590
shipment,8482408785,SH-2026-000591
shipment,8482408786,SH-2026-000592
shipment,8482408787,SH-2026-000593
shipment,8482408799,SH-2026-001739
shipment,8482408801,SH-2026-000594
shipment,8482408802,SH-2026-000595
shipment,8482408803,SH-2026-000596
shipment,8482408804,SH-2026-000597
shipment,8482408805,SH-2026-000598
shipment,8482408806,SH-2026-000599
shipment,8482408807,SH-2026-000600
shipment,8482408808,SH-2026-000601
shipment,8482408809,SH-2026-000602
shipment,8482408810,SH-2026-000178
shipment,8482408811,SH-2026-000603
shipment,8482408812,SH-2026-000604
shipment,8482408813,SH-2026-000605
shipment,8482408814,SH-2026-000606
shipment,8482408815,SH-2026-000607
shipment,8482408816,SH-2026-001740
shipment,8482408818,SH-2026-001047
shipment,8482408820,SH-2026-000608
shipment,8482408821,SH-2026-000609
shipment,8482408823,SH-2026-000508
shipment,8482408826,SH-2026-000509
shipment,8482408827,SH-2026-000510
shipment,8482408829,SH-2026-000610
shipment,8482408830,SH-2026-000611
shipment,8482408831,SH-2026-000612
shipment,8482408832,SH-2026-000613
shipment,8482408833,SH-2026-000561
shipment,8482408834,SH-2026-000511
shipment,8482408835,SH-2026-000179
shipment,8482408836,SH-2026-000512
shipment,8482408837,SH-2026-000614
shipment,8482408838,SH-2026-001048
shipment,8482408839,SH-2026-000615
shipment,8482408840,SH-2026-000616
shipment,8482408841,SH-2026-000513
shipment,8482408842,SH-2026-000617
shipment,8482408843,SH-2026-001049
shipment,8482408844,SH-2026-000618
shipment,8482408845,SH-2026-000180
shipment,8482408846,SH-2026-000619
shipment,8482408847,SH-2026-000620
shipment,8482408848,SH-2026-000621
shipment,8482408849,SH-2026-000514
shipment,8482408850,SH-2026-000622
shipment,8482408851,SH-2026-000623
shipment,8482408852,SH-2026-000624
shipment,8482408853,SH-2026-000625
shipment,8482408854,SH-2026-000515
shipment,8482408855,SH-2026-000181
shipment,8482408856,SH-2026-000626
shipment,8482408857,SH-2026-000516
shipment,8482408859,SH-2026-000627
shipment,8482408860,SH-2026-001050
shipment,8482408861,SH-2026-000628
shipment,8482408863,SH-2026-000629
shipment,8482408865,SH-2026-000517
shipment,8482408868,SH-2026-000630
shipment,8482408869,SH-2026-000631
shipment,8482408871,SH-2026-000632
