"trip_id_raw","tender_date","eta_operation","ata_operation","pickup_location_raw","delivery_area_raw","carrier_code_raw","vehicle_type_raw","cargo_group_raw","vfr_pct","vfr_by_ton","vfr_by_volume","planned_ton","planned_cbm"
"DI0184932","2026-02-01","2026-02-02 05:30:00","2026-02-02 05:44:31","Kho trong - NKD","Ha Noi","HDA","2.5T","FRESH",65.18461538461538,21.357279999999996,65.18461538461538,0.533932,8.474
"DI0184884","2026-02-01","2026-02-02 07:00:00","2026-02-02 07:57:36","Kho trong - NKD","Ha Noi","HDA","1.4T","FRESH",88.3625,36.9195,88.3625,0.5168729999999999,7.069
"DI0184908","2026-02-01","2026-02-02 07:00:00","2026-02-02 06:28:34","Kho trong - NKD","Ha Noi","HDA","5T","FRESH",93.90454545454546,29.284419999999994,93.90454545454546,1.4642209999999998,20.659
"DI0184919","2026-02-01","2026-02-02 07:00:00","2026-02-02 06:34:13","Kho trong - NKD","Ha Noi","HDA","1.4T","FRESH",100,44.23421428571429,100,0.619279,8.473
"DI0184909","2026-02-01","2026-02-02 09:00:00","2026-02-02 08:02:52","Kho trong - NKD","North East - North West","HDA","5T","FRESH",55.69090909090908,17.2057,55.69090909090908,0.860285,12.251999999999999
"DI0184719","2026-01-31","2026-02-02 15:30:00","2026-02-02 10:02:26","Kho ngoài - BKD","Mekong 1","THANH AN","8T","DRY",77.66211724137932,30.100474999999992,77.66211724137932,2.4080379999999995,22.522014000000006
"DI0184721","2026-01-31","2026-02-02 15:30:00","2026-02-02 13:34:04","Kho trong - BKD","Mekong 1","THANH AN","8T","DRY",100,100,100,3.354735,27.560073000000006
"DI0184723","2026-01-31","2026-02-02 15:30:00","2026-02-02 07:20:37","Kho trong - BKD","Mekong 1","THANH AN","2.5T","DRY, POSM, FRESH",68.90432307692309,29.41439999999999,68.90432307692309,0.7353599999999998,8.957562000000003
"DI0184977","2026-01-31","2026-02-02 15:30:00","2026-02-02 05:54:14","Kho trong - BKD","Ho Chi Minh","ANH SON","2T","DRY, FRESH",94.48999999999995,52.54,94.48999999999995,1.0508,11.338799999999994
"DI0184978","2026-01-31","2026-02-02 15:30:00","2026-02-02 09:43:10","Kho trong - BKD","Ho Chi Minh","ANH SON","2T","DRY, FRESH, TET",96.03333333333332,47.59814999999998,96.03333333333332,0.9519629999999997,11.524
"DI0184979","2026-01-31","2026-02-02 15:30:00","2026-02-02 04:52:42","Kho trong - BKD","Ho Chi Minh","ANH SON","2T","DRY, FRESH",71.98000833333333,34.8696,71.98000833333333,0.697392,8.637601
"DI0184980","2026-01-31","2026-02-02 15:30:00","2026-02-02 04:52:33","Kho trong - BKD","Ho Chi Minh","ANH SON","2T","DRY, FRESH",91.91675833333335,62.871050000000004,91.91675833333335,1.2574210000000001,11.030011000000002
"DI0184981","2026-01-31","2026-02-02 15:30:00","2026-02-02 06:59:00","Kho trong - BKD","Ho Chi Minh","ANH SON","2T","DRY, FRESH",92.0083666666667,55.1852,92.0083666666667,1.103704,11.041004000000004
